position,song,artist,popularity,album_type,total_track,release_date
44,My Love Mine All Mine,Mitski,89,album,11,15-09-2023
45,As It Was,Harry Styles,93,album,13,20-05-2022
46,Away From Home,Drake,0,album,23,06-10-2023
47,BBL Love - Interlude,Drake,0,album,23,06-10-2023
48,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,92,album,16,25-08-2023
49,Kill Bill,SZA,91,album,23,08-12-2022
50,Starboy,The Weeknd,93,album,18,25-11-2016
1,Paint The Town Red,Doja Cat,84,album,15,20-09-2023
2,Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,97,single,3,14-07-2023
3,First Person Shooter (feat. J. Cole),Drake,75,album,23,06-10-2023
4,IDGAF (feat. Yeat),Drake,74,album,23,06-10-2023
5,greedy,Tate McRae,95,single,1,15-09-2023
6,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,80,album,7,02-10-2023
7,Virginia Beach,Drake,73,album,23,06-10-2023
8,Strangers,Kenya Grace,96,single,1,01-09-2023
9,Cruel Summer,Taylor Swift,99,album,18,23-08-2019
10,QLONA,KAROL G,93,album,9,10-08-2023
11,Si No Estás,iñigo quintero,89,single,1,23-09-2022
12,Gently (feat. Bad Bunny),Drake,71,album,23,06-10-2023
13,LALA,Myke Towers,97,album,23,23-03-2023
14,Calling For You (feat. 21 Savage),Drake,73,album,23,06-10-2023
15,Slime You Out (feat. SZA),Drake,69,album,23,06-10-2023
16,Daylight,Drake,72,album,23,06-10-2023
17,Milo J: Bzrp Music Sessions Vol. 57,Bizarrap & Milo j,78,single,1,03-10-2023
18,You & Me,JENNIE,69,single,2,06-10-2023
19,Fear Of Heights,Drake,72,album,23,06-10-2023
20,Amen (feat. Teezo Touchdown),Drake,71,album,23,06-10-2023
21,7969 Santa,Drake,71,album,23,06-10-2023
22,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,70,album,23,06-10-2023
23,LADY GAGA,Peso Pluma,94,album,17,29-06-2023
24,8am in Charlotte,Drake,70,album,23,06-10-2023
25,UN PREVIEW,Bad Bunny,91,single,1,25-09-2023
26,vampire,Olivia Rodrigo,95,album,12,08-09-2023
27,Columbia,Quevedo,96,single,1,07-07-2023
28,fukumean,Gunna,95,album,15,16-06-2023
29,Dance The Night - From Barbie The Album,Dua Lipa,95,single,1,25-05-2023
30,Que Onda,Calle 24 & Chino Pacas & Fuerza Regida,92,single,1,30-08-2023
31,Según Quién,Maluma,84,album,25,25-08-2023
32,I Wanna Be Yours,Arctic Monkeys,94,album,12,09-09-2013
33,Bahamas Promises,Drake,70,album,23,06-10-2023
34,Tried Our Best,Drake,70,album,23,06-10-2023
35,What Would Pluto Do,Drake,70,album,23,06-10-2023
36,My Love Mine All Mine,Mitski,89,album,11,15-09-2023
37,Members Only (feat. PARTYNEXTDOOR),Drake,69,album,23,06-10-2023
38,What Was I Made For?,Billie Eilish,96,single,1,13-07-2023
39,Prada,cassö & RAYE & D-Block Europe,93,single,1,11-08-2023
40,As It Was,Harry Styles,93,album,13,20-05-2022
41,Daylight,David Kushner,95,single,1,14-04-2023
42,Kill Bill,SZA,91,album,23,08-12-2022
43,All The Parties (feat. Chief Keef),Drake,69,album,23,06-10-2023
44,Drew A Picasso,Drake,69,album,23,06-10-2023
45,Another Late Night (feat. Lil Yachty),Drake,69,album,23,06-10-2023
46,Starboy,The Weeknd,93,album,18,25-11-2016
47,Chaleya,Anirudh Ravichander,82,album,7,05-09-2023
48,Primera Cita,Carin Leon,86,album,18,19-05-2023
49,Slow Dancing,V,95,single,6,08-09-2023
50,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,93,album,16,25-08-2023
1,Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,97,single,3,14-07-2023
2,Paint The Town Red,Doja Cat,84,album,15,20-09-2023
3,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,82,album,7,02-10-2023
4,greedy,Tate McRae,95,single,1,15-09-2023
5,First Person Shooter (feat. J. Cole),Drake,81,album,23,06-10-2023
6,IDGAF (feat. Yeat),Drake,80,album,23,06-10-2023
7,Cruel Summer,Taylor Swift,99,album,18,23-08-2019
8,Strangers,Kenya Grace,96,single,1,01-09-2023
9,Si No Estás,iñigo quintero,90,single,1,23-09-2022
10,QLONA,KAROL G,93,album,9,10-08-2023
11,LALA,Myke Towers,97,album,23,23-03-2023
12,Virginia Beach,Drake,79,album,23,06-10-2023
13,You & Me,JENNIE,73,single,2,06-10-2023
14,Milo J: Bzrp Music Sessions Vol. 57,Bizarrap & Milo j,80,single,1,03-10-2023
15,Gently (feat. Bad Bunny),Drake,77,album,23,06-10-2023
16,My Love Mine All Mine,Mitski,90,album,11,15-09-2023
17,Slime You Out (feat. SZA),Drake,74,album,23,06-10-2023
18,vampire,Olivia Rodrigo,95,album,12,08-09-2023
19,I Wanna Be Yours,Arctic Monkeys,94,album,12,09-09-2013
20,LADY GAGA,Peso Pluma,94,album,17,29-06-2023
21,Columbia,Quevedo,96,single,1,07-07-2023
22,UN PREVIEW,Bad Bunny,91,single,1,25-09-2023
23,Calling For You (feat. 21 Savage),Drake,78,album,23,06-10-2023
24,fukumean,Gunna,95,album,15,16-06-2023
25,Que Onda,Calle 24 & Chino Pacas & Fuerza Regida,92,single,1,30-08-2023
26,What Was I Made For?,Billie Eilish,96,single,1,13-07-2023
27,Daylight,Drake,78,album,23,06-10-2023
28,Dance The Night - From Barbie The Album,Dua Lipa,95,single,1,25-05-2023
29,Según Quién,Maluma,84,album,25,25-08-2023
30,Daylight,David Kushner,95,single,1,14-04-2023
31,Kill Bill,SZA,91,album,23,08-12-2022
32,Fear Of Heights,Drake,78,album,23,06-10-2023
33,As It Was,Harry Styles,94,album,13,20-05-2022
34,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,76,album,23,06-10-2023
35,Starboy,The Weeknd,93,album,18,25-11-2016
36,Chaleya,Anirudh Ravichander,82,album,7,05-09-2023
37,Slow Dancing,V,95,single,6,08-09-2023
38,8am in Charlotte,Drake,75,album,23,06-10-2023
39,Prada,cassö & RAYE & D-Block Europe,93,single,1,11-08-2023
40,Amen (feat. Teezo Touchdown),Drake,77,album,23,06-10-2023
41,7969 Santa,Drake,77,album,23,06-10-2023
42,Primera Cita,Carin Leon,86,album,18,19-05-2023
43,Blank Space,Taylor Swift,82,album,13,27-10-2014
44,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,93,album,16,25-08-2023
45,Style,Taylor Swift,82,album,13,27-10-2014
46,Water,Tyla,88,single,1,28-07-2023
47,Ella Baila Sola,Eslabon Armado,86,album,16,28-04-2023
48,Die For You,The Weeknd,89,album,18,24-11-2016
49,bad idea right?,Olivia Rodrigo,93,album,12,08-09-2023
50,Sweater Weather,The Neighbourhood,91,album,11,19-04-2013
1,Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,97,single,3,14-07-2023
2,Paint The Town Red,Doja Cat,85,album,15,20-09-2023
3,greedy,Tate McRae,96,single,1,15-09-2023
4,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,83,album,7,02-10-2023
5,IDGAF (feat. Yeat),Drake,82,album,23,06-10-2023
6,Si No Estás,iñigo quintero,91,single,1,23-09-2022
7,Strangers,Kenya Grace,96,single,1,01-09-2023
8,First Person Shooter (feat. J. Cole),Drake,83,album,23,06-10-2023
9,Cruel Summer,Taylor Swift,99,album,18,23-08-2019
10,QLONA,KAROL G,93,album,9,10-08-2023
11,LALA,Myke Towers,97,album,23,23-03-2023
12,Virginia Beach,Drake,81,album,23,06-10-2023
13,Milo J: Bzrp Music Sessions Vol. 57,Bizarrap & Milo j,81,single,1,03-10-2023
14,My Love Mine All Mine,Mitski,90,album,11,15-09-2023
15,Gently (feat. Bad Bunny),Drake,80,album,23,06-10-2023
16,Slime You Out (feat. SZA),Drake,77,album,23,06-10-2023
17,UN PREVIEW,Bad Bunny,92,single,1,25-09-2023
18,vampire,Olivia Rodrigo,95,album,12,08-09-2023
19,I Wanna Be Yours,Arctic Monkeys,94,album,12,09-09-2013
20,What Was I Made For?,Billie Eilish,96,single,1,13-07-2023
21,fukumean,Gunna,95,album,15,16-06-2023
22,Calling For You (feat. 21 Savage),Drake,80,album,23,06-10-2023
23,LADY GAGA,Peso Pluma,94,album,17,29-06-2023
24,Columbia,Quevedo,96,single,1,07-07-2023
25,Daylight,David Kushner,95,single,1,14-04-2023
26,Dance The Night - From Barbie The Album,Dua Lipa,95,single,1,25-05-2023
27,Daylight,Drake,80,album,23,06-10-2023
28,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,78,album,23,06-10-2023
29,Según Quién,Maluma,84,album,25,25-08-2023
30,Prada,cassö & RAYE & D-Block Europe,93,single,1,11-08-2023
31,As It Was,Harry Styles,94,album,13,20-05-2022
32,Que Onda,Calle 24 & Chino Pacas & Fuerza Regida,92,single,1,30-08-2023
33,Kill Bill,SZA,91,album,23,08-12-2022
34,Fear Of Heights,Drake,80,album,23,06-10-2023
35,Starboy,The Weeknd,93,album,18,25-11-2016
36,Fruto,Bizarrap & Milo j,79,single,5,04-10-2023
37,8am in Charlotte,Drake,78,album,23,06-10-2023
38,Water,Tyla,89,single,1,28-07-2023
39,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,93,album,16,25-08-2023
40,Chaleya,Anirudh Ravichander,82,album,7,05-09-2023
41,7969 Santa,Drake,79,album,23,06-10-2023
42,Amen (feat. Teezo Touchdown),Drake,79,album,23,06-10-2023
43,bad idea right?,Olivia Rodrigo,93,album,12,08-09-2023
44,Slow Dancing,V,95,single,6,08-09-2023
45,Sweater Weather,The Neighbourhood,92,album,11,19-04-2013
46,Another Love,Tom Odell,91,album,15,24-06-2013
47,Blank Space,Taylor Swift,82,album,13,27-10-2014
48,Die For You,The Weeknd,90,album,18,24-11-2016
49,Style,Taylor Swift,82,album,13,27-10-2014
50,Primera Cita,Carin Leon,87,album,18,19-05-2023
1,Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,97,single,3,14-07-2023
2,Paint The Town Red,Doja Cat,85,album,15,20-09-2023
3,greedy,Tate McRae,96,single,1,15-09-2023
4,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,84,album,7,02-10-2023
5,IDGAF (feat. Yeat),Drake,84,album,23,06-10-2023
6,Si No Estás,iñigo quintero,91,single,1,23-09-2022
7,Strangers,Kenya Grace,96,single,1,01-09-2023
8,First Person Shooter (feat. J. Cole),Drake,85,album,23,06-10-2023
9,Cruel Summer,Taylor Swift,99,album,18,23-08-2019
10,QLONA,KAROL G,93,album,9,10-08-2023
11,LALA,Myke Towers,97,album,23,23-03-2023
12,Virginia Beach,Drake,83,album,23,06-10-2023
13,Milo J: Bzrp Music Sessions Vol. 57,Bizarrap & Milo j,83,single,1,03-10-2023
14,My Love Mine All Mine,Mitski,91,album,11,15-09-2023
15,Gently (feat. Bad Bunny),Drake,81,album,23,06-10-2023
16,Slime You Out (feat. SZA),Drake,79,album,23,06-10-2023
17,UN PREVIEW,Bad Bunny,92,single,1,25-09-2023
18,vampire,Olivia Rodrigo,95,album,12,08-09-2023
19,I Wanna Be Yours,Arctic Monkeys,94,album,12,09-09-2013
20,What Was I Made For?,Billie Eilish,96,single,1,13-07-2023
21,fukumean,Gunna,95,album,15,16-06-2023
22,Calling For You (feat. 21 Savage),Drake,82,album,23,06-10-2023
23,LADY GAGA,Peso Pluma,95,album,17,29-06-2023
24,Columbia,Quevedo,96,single,1,07-07-2023
25,Daylight,David Kushner,95,single,1,14-04-2023
26,Dance The Night - From Barbie The Album,Dua Lipa,95,single,1,25-05-2023
27,Daylight,Drake,81,album,23,06-10-2023
28,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,80,album,23,06-10-2023
29,Según Quién,Maluma,85,album,25,25-08-2023
30,Prada,cassö & RAYE & D-Block Europe,93,single,1,11-08-2023
31,As It Was,Harry Styles,94,album,13,20-05-2022
32,Que Onda,Calle 24 & Chino Pacas & Fuerza Regida,92,single,1,30-08-2023
33,Kill Bill,SZA,91,album,23,08-12-2022
34,Fear Of Heights,Drake,81,album,23,06-10-2023
35,Starboy,The Weeknd,93,album,18,25-11-2016
36,Fruto,Bizarrap & Milo j,81,single,5,04-10-2023
37,8am in Charlotte,Drake,80,album,23,06-10-2023
38,Water,Tyla,89,single,1,28-07-2023
39,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,93,album,16,25-08-2023
40,Chaleya,Anirudh Ravichander,83,album,7,05-09-2023
41,7969 Santa,Drake,80,album,23,06-10-2023
42,Amen (feat. Teezo Touchdown),Drake,80,album,23,06-10-2023
43,bad idea right?,Olivia Rodrigo,93,album,12,08-09-2023
44,Slow Dancing,V,95,single,6,08-09-2023
45,Sweater Weather,The Neighbourhood,92,album,11,19-04-2013
46,Another Love,Tom Odell,91,album,15,24-06-2013
47,Blank Space,Taylor Swift,82,album,13,27-10-2014
48,Die For You,The Weeknd,90,album,18,24-11-2016
49,Style,Taylor Swift,82,album,13,27-10-2014
50,Primera Cita,Carin Leon,87,album,18,19-05-2023
1,Paint The Town Red,Doja Cat,85,album,15,20-09-2023
2,Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,97,single,3,14-07-2023
3,greedy,Tate McRae,96,single,1,15-09-2023
4,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,84,album,7,02-10-2023
5,Si No Estás,iñigo quintero,91,single,1,23-09-2022
6,IDGAF (feat. Yeat),Drake,86,album,23,06-10-2023
7,Strangers,Kenya Grace,96,single,1,01-09-2023
8,Cruel Summer,Taylor Swift,99,album,18,23-08-2019
9,First Person Shooter (feat. J. Cole),Drake,86,album,23,06-10-2023
10,QLONA,KAROL G,93,album,9,10-08-2023
11,LALA,Myke Towers,97,album,23,23-03-2023
12,Milo J: Bzrp Music Sessions Vol. 57,Bizarrap & Milo j,83,single,1,03-10-2023
13,My Love Mine All Mine,Mitski,91,album,11,15-09-2023
14,UN PREVIEW,Bad Bunny,92,single,1,25-09-2023
15,Virginia Beach,Drake,84,album,23,06-10-2023
16,Gently (feat. Bad Bunny),Drake,83,album,23,06-10-2023
17,vampire,Olivia Rodrigo,95,album,12,08-09-2023
18,I Wanna Be Yours,Arctic Monkeys,94,album,12,09-09-2013
19,Slime You Out (feat. SZA),Drake,80,album,23,06-10-2023
20,fukumean,Gunna,95,album,15,16-06-2023
21,What Was I Made For?,Billie Eilish,96,single,1,13-07-2023
22,Columbia,Quevedo,96,single,1,07-07-2023
23,LADY GAGA,Peso Pluma,95,album,17,29-06-2023
24,Daylight,David Kushner,95,single,1,14-04-2023
25,Dance The Night - From Barbie The Album,Dua Lipa,95,single,1,25-05-2023
26,Prada,cassö & RAYE & D-Block Europe,93,single,1,11-08-2023
27,Según Quién,Maluma,85,album,25,25-08-2023
28,Kill Bill,SZA,91,album,23,08-12-2022
29,As It Was,Harry Styles,94,album,13,20-05-2022
30,Fruto,Bizarrap & Milo j,81,single,5,04-10-2023
31,Que Onda,Calle 24 & Chino Pacas & Fuerza Regida,92,single,1,30-08-2023
32,Starboy,The Weeknd,93,album,18,25-11-2016
33,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,82,album,23,06-10-2023
34,Water,Tyla,89,single,1,28-07-2023
35,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,93,album,16,25-08-2023
36,Calling For You (feat. 21 Savage),Drake,83,album,23,06-10-2023
37,Daylight,Drake,82,album,23,06-10-2023
38,Chaleya,Anirudh Ravichander,83,album,7,05-09-2023
39,Another Love,Tom Odell,91,album,15,24-06-2013
40,Die For You,The Weeknd,90,album,18,24-11-2016
41,You & Me,JENNIE,76,single,2,06-10-2023
42,Sweater Weather,The Neighbourhood,92,album,11,19-04-2013
43,bad idea right?,Olivia Rodrigo,93,album,12,08-09-2023
44,Slow Dancing,V,95,single,6,08-09-2023
45,Blank Space,Taylor Swift,82,album,13,27-10-2014
46,Sprinter,Dave & Central Cee,94,single,1,01-06-2023
47,8am in Charlotte,Drake,81,album,23,06-10-2023
48,Style,Taylor Swift,82,album,13,27-10-2014
49,Fear Of Heights,Drake,82,album,23,06-10-2023
50,Primera Cita,Carin Leon,87,album,18,19-05-2023
1,Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,97,single,3,14-07-2023
2,Paint The Town Red,Doja Cat,86,album,15,20-09-2023
3,greedy,Tate McRae,96,single,1,15-09-2023
4,Si No Estás,iñigo quintero,92,single,1,23-09-2022
5,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,84,album,7,02-10-2023
6,IDGAF (feat. Yeat),Drake,87,album,23,06-10-2023
7,Strangers,Kenya Grace,96,single,1,01-09-2023
8,Cruel Summer,Taylor Swift,99,album,18,23-08-2019
9,QLONA,KAROL G,94,album,9,10-08-2023
10,LALA,Myke Towers,97,album,23,23-03-2023
11,First Person Shooter (feat. J. Cole),Drake,87,album,23,06-10-2023
12,My Love Mine All Mine,Mitski,91,album,11,15-09-2023
13,Milo J: Bzrp Music Sessions Vol. 57,Bizarrap & Milo j,84,single,1,03-10-2023
14,UN PREVIEW,Bad Bunny,92,single,1,25-09-2023
15,vampire,Olivia Rodrigo,95,album,12,08-09-2023
16,Gently (feat. Bad Bunny),Drake,84,album,23,06-10-2023
17,I Wanna Be Yours,Arctic Monkeys,94,album,12,09-09-2013
18,Columbia,Quevedo,96,single,1,07-07-2023
19,fukumean,Gunna,95,album,15,16-06-2023
20,What Was I Made For?,Billie Eilish,96,single,1,13-07-2023
21,Virginia Beach,Drake,85,album,23,06-10-2023
22,Daylight,David Kushner,95,single,1,14-04-2023
23,Dance The Night - From Barbie The Album,Dua Lipa,95,single,1,25-05-2023
24,LADY GAGA,Peso Pluma,95,album,17,29-06-2023
25,Según Quién,Maluma,85,album,25,25-08-2023
26,As It Was,Harry Styles,94,album,13,20-05-2022
27,Prada,cassö & RAYE & D-Block Europe,93,single,1,11-08-2023
28,Kill Bill,SZA,91,album,23,08-12-2022
29,Water,Tyla,89,single,1,28-07-2023
30,Fruto,Bizarrap & Milo j,83,single,5,04-10-2023
31,Starboy,The Weeknd,93,album,18,25-11-2016
32,Que Onda,Calle 24 & Chino Pacas & Fuerza Regida,92,single,1,30-08-2023
33,Slime You Out (feat. SZA),Drake,81,album,23,06-10-2023
34,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,93,album,16,25-08-2023
35,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,83,album,23,06-10-2023
36,Die For You,The Weeknd,90,album,18,24-11-2016
37,Another Love,Tom Odell,91,album,15,24-06-2013
38,Chaleya,Anirudh Ravichander,83,album,7,05-09-2023
39,bad idea right?,Olivia Rodrigo,93,album,12,08-09-2023
40,Sweater Weather,The Neighbourhood,92,album,11,19-04-2013
41,Blank Space,Taylor Swift,82,album,13,27-10-2014
42,Slow Dancing,V,95,single,6,08-09-2023
43,Style,Taylor Swift,82,album,13,27-10-2014
44,Sprinter,Dave & Central Cee,94,single,1,01-06-2023
45,You & Me,JENNIE,78,single,2,06-10-2023
46,Primera Cita,Carin Leon,87,album,18,19-05-2023
47,Classy 101,Feid & Young Miko,93,single,1,31-03-2023
48,Flowers,Miley Cyrus,88,album,14,18-08-2023
49,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd & Madonna,93,single,1,02-06-2023
50,I KNOW ?,Travis Scott,92,album,19,28-07-2023
1,MONACO,Bad Bunny,0,album,22,13-10-2023
2,NADIE SABE,Bad Bunny,0,album,22,13-10-2023
3,FINA,Bad Bunny,0,album,22,13-10-2023
4,HIBIKI,Bad Bunny,0,album,22,13-10-2023
5,MR. OCTOBER,Bad Bunny,0,album,22,13-10-2023
6,PERRO NEGRO,Bad Bunny,0,album,22,13-10-2023
7,SEDA,Bad Bunny,0,album,22,13-10-2023
8,CYBERTRUCK,Bad Bunny,0,album,22,13-10-2023
9,TELEFONO NUEVO,Bad Bunny,0,album,22,13-10-2023
10,GRACIAS POR NADA,Bad Bunny,0,album,22,13-10-2023
11,BABY NUEVA,Bad Bunny,0,album,22,13-10-2023
12,VOU 787,Bad Bunny,0,album,22,13-10-2023
13,UN PREVIEW,Bad Bunny,0,album,22,13-10-2023
14,Paint The Town Red,Doja Cat,86,album,15,20-09-2023
15,greedy,Tate McRae,8,single,3,13-09-2023
16,MERCEDES CAROTA,Bad Bunny,0,album,22,13-10-2023
17,Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,97,single,3,14-07-2023
18,LOS PITS,Bad Bunny,0,album,22,13-10-2023
19,WHERE SHE GOES,Bad Bunny,0,album,22,13-10-2023
20,Si No Estás,iñigo quintero,93,single,1,23-09-2022
21,ACHO PR,Bad Bunny,0,album,22,13-10-2023
22,VUELVE CANDY B,Bad Bunny,0,album,22,13-10-2023
23,NO ME QUIERO CASAR,Bad Bunny,0,album,22,13-10-2023
24,THUNDER Y LIGHTNING,Bad Bunny,0,album,22,13-10-2023
25,BATICANO,Bad Bunny,0,album,22,13-10-2023
26,Strangers,Kenya Grace,97,single,1,01-09-2023
27,Cruel Summer,Taylor Swift,99,album,18,23-08-2019
28,IDGAF (feat. Yeat),Drake,88,album,23,06-10-2023
29,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,85,album,7,02-10-2023
30,QLONA,KAROL G,94,album,9,10-08-2023
31,LALA,Myke Towers,97,album,23,23-03-2023
32,My Love Mine All Mine,Mitski,92,album,11,15-09-2023
33,First Person Shooter (feat. J. Cole),Drake,88,album,23,06-10-2023
34,fukumean,Gunna,95,album,15,16-06-2023
35,vampire,Olivia Rodrigo,95,album,12,08-09-2023
36,Water,Tyla,90,single,1,28-07-2023
37,LADY GAGA,Peso Pluma,95,album,17,29-06-2023
38,Columbia,Quevedo,96,single,1,07-07-2023
39,I Wanna Be Yours,Arctic Monkeys,95,album,12,09-09-2013
40,Milo J: Bzrp Music Sessions Vol. 57,Bizarrap & Milo j,85,single,1,03-10-2023
41,Prada,cassö & RAYE & D-Block Europe,93,single,1,11-08-2023
42,Según Quién,Maluma,85,album,25,25-08-2023
43,Dance The Night - From Barbie The Album,Dua Lipa,95,single,1,25-05-2023
44,What Was I Made For?,Billie Eilish,96,single,1,13-07-2023
45,Daylight,David Kushner,95,single,1,14-04-2023
46,As It Was,Harry Styles,94,album,13,20-05-2022
47,Que Onda,Calle 24 & Chino Pacas & Fuerza Regida,92,single,1,30-08-2023
48,SAY MY GRACE (feat. Travis Scott),Offset,0,album,21,13-10-2023
49,Kill Bill,SZA,91,album,23,08-12-2022
50,Gently (feat. Bad Bunny),Drake,84,album,23,06-10-2023
1,MONACO,Bad Bunny,85,album,22,13-10-2023
2,NADIE SABE,Bad Bunny,83,album,22,13-10-2023
3,FINA,Bad Bunny,83,album,22,13-10-2023
4,HIBIKI,Bad Bunny,83,album,22,13-10-2023
5,MR. OCTOBER,Bad Bunny,82,album,22,13-10-2023
6,PERRO NEGRO,Bad Bunny,81,album,22,13-10-2023
7,SEDA,Bad Bunny,81,album,22,13-10-2023
8,CYBERTRUCK,Bad Bunny,81,album,22,13-10-2023
9,TELEFONO NUEVO,Bad Bunny,81,album,22,13-10-2023
10,GRACIAS POR NADA,Bad Bunny,80,album,22,13-10-2023
11,BABY NUEVA,Bad Bunny,80,album,22,13-10-2023
12,VOU 787,Bad Bunny,80,album,22,13-10-2023
13,UN PREVIEW,Bad Bunny,75,album,22,13-10-2023
14,Paint The Town Red,Doja Cat,86,album,15,20-09-2023
15,greedy,Tate McRae,31,single,3,13-09-2023
16,MERCEDES CAROTA,Bad Bunny,79,album,22,13-10-2023
17,Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,97,single,3,14-07-2023
18,LOS PITS,Bad Bunny,79,album,22,13-10-2023
19,WHERE SHE GOES,Bad Bunny,75,album,22,13-10-2023
20,Si No Estás,iñigo quintero,93,single,1,23-09-2022
21,ACHO PR,Bad Bunny,78,album,22,13-10-2023
22,VUELVE CANDY B,Bad Bunny,78,album,22,13-10-2023
23,NO ME QUIERO CASAR,Bad Bunny,78,album,22,13-10-2023
24,THUNDER Y LIGHTNING,Bad Bunny,78,album,22,13-10-2023
25,BATICANO,Bad Bunny,78,album,22,13-10-2023
26,Strangers,Kenya Grace,97,single,1,01-09-2023
27,Cruel Summer,Taylor Swift,99,album,18,23-08-2019
28,IDGAF (feat. Yeat),Drake,89,album,23,06-10-2023
29,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,86,album,7,02-10-2023
30,QLONA,KAROL G,94,album,9,10-08-2023
31,LALA,Myke Towers,97,album,23,23-03-2023
32,My Love Mine All Mine,Mitski,92,album,11,15-09-2023
33,First Person Shooter (feat. J. Cole),Drake,89,album,23,06-10-2023
34,fukumean,Gunna,95,album,15,16-06-2023
35,vampire,Olivia Rodrigo,95,album,12,08-09-2023
36,Water,Tyla,90,single,1,28-07-2023
37,LADY GAGA,Peso Pluma,95,album,17,29-06-2023
38,Columbia,Quevedo,96,single,1,07-07-2023
39,I Wanna Be Yours,Arctic Monkeys,95,album,12,09-09-2013
40,Milo J: Bzrp Music Sessions Vol. 57,Bizarrap & Milo j,85,single,1,03-10-2023
41,Prada,cassö & RAYE & D-Block Europe,94,single,1,11-08-2023
42,Según Quién,Maluma,86,album,25,25-08-2023
43,Dance The Night - From Barbie The Album,Dua Lipa,95,single,1,25-05-2023
44,What Was I Made For?,Billie Eilish,96,single,1,13-07-2023
45,Daylight,David Kushner,95,single,1,14-04-2023
46,As It Was,Harry Styles,94,album,13,20-05-2022
47,Que Onda,Calle 24 & Chino Pacas & Fuerza Regida,93,single,1,30-08-2023
48,SAY MY GRACE (feat. Travis Scott),Offset,73,album,21,13-10-2023
49,Kill Bill,SZA,91,album,23,08-12-2022
50,Gently (feat. Bad Bunny),Drake,85,album,23,06-10-2023
1,MONACO,Bad Bunny,85,album,22,13-10-2023
2,Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,97,single,3,14-07-2023
3,Paint The Town Red,Doja Cat,87,album,15,20-09-2023
4,PERRO NEGRO,Bad Bunny,81,album,22,13-10-2023
5,Cruel Summer,Taylor Swift,99,album,18,23-08-2019
6,Si No Estás,iñigo quintero,94,single,1,23-09-2022
7,greedy,Tate McRae,56,single,3,13-09-2023
8,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,87,album,7,02-10-2023
9,Strangers,Kenya Grace,97,single,1,01-09-2023
10,FINA,Bad Bunny,83,album,22,13-10-2023
11,QLONA,KAROL G,94,album,9,10-08-2023
12,My Love Mine All Mine,Mitski,93,album,11,15-09-2023
13,IDGAF (feat. Yeat),Drake,90,album,23,06-10-2023
14,HIBIKI,Bad Bunny,83,album,22,13-10-2023
15,LALA,Myke Towers,98,album,23,23-03-2023
16,UN PREVIEW,Bad Bunny,75,album,22,13-10-2023
17,I Wanna Be Yours,Arctic Monkeys,95,album,12,09-09-2013
18,NADIE SABE,Bad Bunny,83,album,22,13-10-2023
19,Water,Tyla,91,single,1,28-07-2023
20,BABY NUEVA,Bad Bunny,80,album,22,13-10-2023
21,vampire,Olivia Rodrigo,95,album,12,08-09-2023
22,SEDA,Bad Bunny,81,album,22,13-10-2023
23,LADY GAGA,Peso Pluma,95,album,17,29-06-2023
24,Que Onda,Calle 24 & Chino Pacas & Fuerza Regida,93,single,1,30-08-2023
25,TELEFONO NUEVO,Bad Bunny,81,album,22,13-10-2023
26,MR. OCTOBER,Bad Bunny,82,album,22,13-10-2023
27,fukumean,Gunna,95,album,15,16-06-2023
28,WHERE SHE GOES,Bad Bunny,75,album,22,13-10-2023
29,Daylight,David Kushner,95,single,1,14-04-2023
30,What Was I Made For?,Billie Eilish,96,single,1,13-07-2023
31,Columbia,Quevedo,96,single,1,07-07-2023
32,Blank Space,Taylor Swift,82,album,13,27-10-2014
33,Según Quién,Maluma,86,album,25,25-08-2023
