position,song,artist,popularity,album_type,total_track,release_date
31,Die For You,The Weeknd,91,album,18,24-11-2016
32,All My Life (feat. J. Cole),Lil Durk & J. Cole,88,single,1,12-05-2023
33,Here With Me,d4vd,94,single,1,22-09-2022
34,Cruel Summer,Taylor Swift,92,album,18,23-08-2019
35,I'm Good (Blue),David Guetta & Bebe Rexha,94,single,2,26-08-2022
36,Starboy,The Weeknd,93,album,18,25-11-2016
37,golden hour,JVKE,90,album,12,23-09-2022
38,Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez & Em Beihold,93,single,1,22-04-2022
39,I Ain't Worried,OneRepublic,55,album,18,15-02-2023
40,Another Love,Tom Odell,63,album,10,17-06-2013
41,Por las Noches,Peso Pluma,93,single,1,11-06-2021
42,Moonlight,Kali Uchis,87,album,15,03-03-2023
43,Like Crazy,Jimin,93,single,6,24-03-2023
44,People,Libianca,92,single,1,06-12-2022
45,Frágil,Yahritza Y Su Esencia & Grupo Frontera,90,single,1,07-04-2023
46,El Gordo Trae El Mando,Chino Pacas,92,single,1,27-01-2023
47,Shakira: Bzrp Music Sessions Vol. 53,Bizarrap & Shakira,94,single,1,11-01-2023
48,Yellow,Coldplay,91,album,10,10-07-2000
49,Cha Cha Cha,Käärijä,89,single,1,17-01-2023
50,La Bachata,Manuel Turizo,86,album,15,17-03-2023
1,WHERE SHE GOES,Bad Bunny,89,single,1,18-05-2023
2,Ella Baila Sola,Eslabon Armado,90,album,16,28-04-2023
3,un x100to,Grupo Frontera & Bad Bunny,100,single,1,17-04-2023
4,Cupid - Twin Ver.,FIFTY FIFTY,98,single,3,24-02-2023
5,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,single,2,17-03-2023
6,Flowers,Miley Cyrus,91,album,13,10-03-2023
7,Daylight,David Kushner,97,single,1,14-04-2023
8,Kill Bill,SZA,94,album,23,08-12-2022
9,As It Was,Harry Styles,92,album,13,20-05-2022
10,Angel Pt. 1,Fast & Furious: The Fast Saga & Jimin & BTS,82,single,2,17-05-2023
11,Acróstico,Shakira,88,single,1,11-05-2023
12,TQG,KAROL G,96,album,17,24-02-2023
13,Classy 101,Feid & Young Miko,96,single,1,31-03-2023
14,See You Again (feat. Kali Uchis),Tyler The Creator,94,album,14,21-07-2017
15,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,96,album,15,02-12-2022
16,BESO,ROSALÍA & Rauw Alejandro,96,single,3,24-03-2023
17,Calm Down (with Selena Gomez),Rema,79,album,22,27-04-2023
18,TQM,Fuerza Regida,81,single,1,19-05-2023
19,Die For You (with Ariana Grande) - Remix,The Weeknd,88,album,21,14-03-2023
20,Tattoo,Loreen,91,single,1,25-02-2023
21,Say Yes To Heaven,Lana Del Rey,84,single,2,19-05-2023
